id,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
228,0.02502111,0.77480507,0.025019888,0.02501965,0.025020685,0.02502231,0.025019335,0.02502,0.025030129,0.025021821
229,0,0,0,0,0,0.7230753,0,0.2731996,0,0
230,0.98938555,0,0,0,0,0,0,0,0,0
231,0.806653,0,0.1883412,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0.9947009,0
233,0.8233701,0,0,0,0.054115195,0,0.114896506,0,0,0
234,0,0,0,0,0,0,0,0,0.9909765,0
235,0.014299901,0.01429803,0.014300142,0.014300218,0.87130636,0.014298626,0.014299427,0.014298991,0.014299367,0.0142989
236,0,0,0,0.9356716,0,0,0,0,0,0
237,0,0,0,0,0,0.9181276,0,0,0,0
238,0.011120034,0.011120103,0.011120424,0.0111199375,0.011120423,0.011119778,0.011119586,0.011120293,0.8999197,0.011119773
239,0.02002439,0.020023046,0.020023208,0.0200223,0.020022564,0.02002283,0.020022519,0.81979275,0.020023484,0.020022934
240,0.99290603,0,0,0,0,0,0,0,0,0
241,0,0,0,0.99545217,0,0,0,0,0,0
242,0,0,0,0,0.17239077,0,0.8166236,0,0,0
243,0,0,0,0,0,0,0,0,0.9927959,0
244,0,0,0,0,0,0,0.9946911,0,0,0
245,0,0,0.058687124,0,0,0.9357484,0,0,0,0
246,0,0,0,0,0.990975,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0.9912565
248,0.9897626,0,0,0,0,0,0,0,0,0
249,0,0,0,0.94371694,0,0,0,0,0,0
250,0.01250782,0.012506647,0.012506629,0.012507625,0.0125068035,0.012506683,0.012506392,0.012507131,0.012509559,0.8874347
251,0,0,0.0381724,0,0.95556897,0,0,0,0,0
252,0,0,0.044603202,0,0.013433573,0,0,0,0.9386193,0
253,0,0,0,0,0.99413735,0,0,0,0,0
254,0,0.93995756,0,0,0,0,0,0,0,0
255,0.05211681,0,0,0,0,0,0.066258915,0.87618315,0,0
256,0,0.15077433,0.29314318,0,0,0,0,0,0,0.55453825
257,0.99547136,0,0,0,0,0,0,0,0,0
258,0.012515981,0.01251279,0.012514074,0.012513971,0.88737494,0.012513713,0.012513773,0.012513543,0.012513567,0.01251367
259,0.758432,0,0,0,0.232137,0,0,0,0,0
260,0,0,0,0,0,0,0.9951798,0,0,0
261,0,0,0,0,0,0.99290866,0,0,0,0
262,0.6994125,0.03339681,0.033399265,0.033399995,0.03339681,0.03339681,0.033400595,0.033401,0.03339681,0.03339938
263,0,0,0,0,0,0,0,0,0,0.9570792
264,0.9946053,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0.68621004,0.30583972,0,0
266,0,0,0,0.9919601,0,0,0,0,0,0
267,0,0,0.99332654,0,0,0,0,0,0,0
268,0.011120829,0.011118816,0.011120676,0.011119734,0.8999179,0.011120067,0.01111977,0.011121051,0.011120278,0.011120834
269,0.9918085,0,0,0,0,0,0,0,0,0
270,0,0,0,0.8351981,0,0,0,0.1586837,0,0
271,0.01668729,0.016685583,0.01668667,0.016685618,0.016686805,0.849821,0.016686598,0.01668775,0.016686449,0.016686272
272,0,0,0,0.994223,0,0,0,0,0,0
273,0,0,0.9946263,0,0,0,0,0,0,0
274,0,0.19633768,0,0,0.24581335,0,0.55340403,0,0,0
275,0,0,0,0.9946059,0,0,0,0,0,0
276,0.08635624,0,0.9048983,0,0,0,0,0,0,0
277,0,0,0,0,0.99387306,0,0,0,0,0
278,0.9956485,0,0,0,0,0,0,0,0,0
279,0,0,0.99242884,0,0,0,0,0,0,0
280,0.37626463,0,0,0,0.6196042,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0.9919525,0
282,0,0,0,0,0,0,0,0,0,0.99133134
283,0,0,0,0,0.9890134,0,0,0,0,0
284,0,0,0,0,0.1145866,0,0.871844,0,0,0
285,0,0,0,0,0,0.19284528,0,0,0,0.80108607
286,0,0,0.9905102,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0.9895237,0,0,0
288,0.014312218,0.014311121,0.8711949,0.01431107,0.014312268,0.014312156,0.014311253,0.014312447,0.014311107,0.014311498
289,0,0,0,0,0,0,0,0,0.9934694,0
290,0.9399445,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0.9780365,0
292,0.57712656,0,0,0,0.28163442,0,0,0.13524942,0,0
293,0,0,0,0.4059081,0,0,0.5826544,0,0,0
294,0,0,0,0,0,0,0.9949346,0,0,0
295,0.01001273,0.010011714,0.9098865,0.010012208,0.010013909,0.010012076,0.010013317,0.010012875,0.010011844,0.010012873
296,0,0,0,0,0,0,0,0.7781935,0.21386822,0
297,0,0,0,0,0,0,0,0,0,0.9966113
298,0,0,0.99481255,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0.9948171,0,0,0
300,0,0,0,0,0,0,0,0.9306463,0,0
301,0,0,0,0,0.9949584,0,0,0,0,0
302,0,0,0.99399054,0,0,0,0,0,0,0
303,0,0,0,0.99079573,0,0,0,0,0,0
304,0,0.25219765,0.44026342,0,0.3054599,0,0,0,0,0
305,0,0,0,0.68133837,0,0,0.3072218,0,0,0
306,0,0,0,0,0,0.9819914,0,0,0,0
307,0.01000638,0.010004926,0.01000525,0.010006126,0.010005532,0.90994895,0.0100052655,0.010005978,0.01000609,0.010005496
308,0,0,0,0,0,0,0,0,0.99351853,0
309,0,0,0,0,0,0.9918827,0,0,0,0
310,0,0,0,0,0,0,0,0,0.98083216,0
311,0,0,0,0,0.99496,0,0,0,0,0
312,0.7967174,0,0.19797666,0,0,0,0,0,0,0
313,0,0,0,0,0.34755468,0,0.64752626,0,0,0
314,0.014307285,0.0143060265,0.01430986,0.014306338,0.87123674,0.014306692,0.014306477,0.014307231,0.014306226,0.014307128
315,0,0,0.9678387,0,0,0,0,0,0,0
316,0.012512218,0.012510392,0.012512423,0.012511368,0.012512292,0.012513109,0.012512009,0.012511547,0.012511763,0.88739294
317,0.69680315,0,0,0,0,0.28648138,0,0,0,0
318,0,0,0,0,0.67075735,0,0,0,0.32214862,0
319,0.010009294,0.909916,0.010009134,0.010009491,0.010010597,0.010008123,0.010009384,0.010009236,0.010008949,0.010009799
320,0,0,0.81319594,0,0,0.18131796,0,0,0,0
321,0,0,0,0,0,0,0.98912126,0,0,0
322,0,0,0.86039317,0,0.08234186,0,0,0.052822378,0,0
323,0,0,0,0,0,0,0,0,0,0.99378926
324,0.29573807,0,0,0,0,0.09063772,0,0,0,0.6105348
325,0.010011333,0.010009712,0.010010927,0.010010052,0.9099055,0.010010203,0.010010913,0.010010848,0.0100104315,0.010010071
326,0,0,0,0,0.014325392,0.9809921,0,0,0,0
327,0,0,0.045199722,0,0,0.95122236,0,0,0,0
328,0,0,0.10419969,0.8909161,0,0,0,0,0,0
329,0,0,0,0,0.05173189,0,0,0,0,0.9451015
330,0,0,0,0,0,0,0,0,0.98655623,0
331,0,0,0,0,0.49947032,0,0.49554834,0,0,0
332,0,0,0.80653465,0,0,0,0,0.18843709,0,0
333,0.63339734,0,0,0,0.039706968,0.32211345,0,0,0,0
334,0,0,0,0.9946024,0,0,0,0,0,0
335,0.016686277,0.016687011,0.016686229,0.016687764,0.016686292,0.8498187,0.016686717,0.016686967,0.016686717,0.016687302
336,0,0,0.9830043,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0.99429774,0,0
338,0.4681082,0,0,0.36613724,0,0,0,0,0,0.16239218
339,0,0.98299664,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0.9874864
341,0,0,0,0,0,0.98845106,0,0,0,0
342,0.025019005,0.025016326,0.025019838,0.025016896,0.02501901,0.025017535,0.025017126,0.774839,0.025016693,0.025018606
343,0,0,0.51359886,0.48148638,0,0,0,0,0,0
344,0.871291,0.014300867,0.014300963,0.0143006155,0.014301885,0.014301666,0.014301325,0.014300392,0.014300598,0.01430071
345,0.016702078,0.016701598,0.84968394,0.016701795,0.016701957,0.016701508,0.016701382,0.016702076,0.016701847,0.016701752
346,0,0,0,0,0.9181004,0,0,0,0,0
347,0.88739467,0.012510515,0.012513145,0.012512087,0.012511392,0.012510713,0.01251243,0.012512165,0.012511406,0.012511526
348,0,0,0,0.96887225,0,0,0,0,0,0
349,0.05006737,0.5493937,0.05006737,0.05006737,0.05006737,0.05006737,0.05006737,0.05006737,0.05006737,0.05006737
350,0.014306711,0.014308592,0.014306537,0.014306015,0.014306083,0.014307028,0.014306782,0.014306568,0.8712373,0.014308395
351,0,0,0,0.2102078,0.09896039,0,0,0,0,0.6848376
352,0,0,0.95263475,0,0,0,0,0,0.04033927,0
353,0,0,0,0,0,0,0.65781134,0.30575287,0,0
354,0,0.22131877,0.77303576,0,0,0,0,0,0,0
355,0,0,0,0,0.94313836,0,0,0,0.05306426,0
356,0,0,0,0.8316371,0,0,0.13984944,0,0,0.020106014
357,0.2835228,0,0.07941934,0,0.12328374,0,0,0,0.0722758,0.4395
358,0.01668673,0.016685488,0.016685138,0.016686019,0.016685404,0.01668547,0.016686482,0.8498282,0.016685508,0.016685523
359,0,0,0,0,0,0.15310797,0,0,0,0.84009343
360,0,0,0.95137453,0,0,0,0.04289825,0,0,0
361,0.93070126,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0.46303368,0,0,0.53107023,0,0
363,0.98611844,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,0.9927919
365,0,0,0.9045804,0,0.08806801,0,0,0,0,0
366,0,0,0,0,0,0,0,0.9919589,0,0
367,0.8846415,0,0,0,0,0,0,0,0,0.11015617
368,0,0,0,0,0,0,0,0,0.99498564,0
369,0,0,0,0,0.9836088,0,0,0,0,0
370,0,0,0,0,0,0,0.9865079,0,0,0
371,0,0,0,0,0,0,0,0,0.9957517,0
372,0.10763308,0,0.14627643,0,0.5790333,0,0,0,0.16342525,0
373,0.6044261,0,0,0,0,0.39059836,0,0,0,0
374,0.9873104,0,0,0,0,0,0,0,0,0
375,0,0,0,0.99236274,0,0,0,0,0,0
376,0.9947338,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0.89025253,0,0,0.1032365,0
378,0,0,0.16023749,0,0,0,0,0,0,0.8349971
379,0,0,0,0,0,0,0.9249494,0,0,0
380,0,0,0,0.99592334,0,0,0,0,0,0
381,0,0,0,0.99202806,0,0,0,0,0,0
382,0,0,0.967828,0,0,0,0,0,0,0
383,0,0,0,0.1434383,0,0,0,0,0.44596788,0.4043742
384,0,0,0,0,0,0,0,0.99548656,0,0
385,0,0,0.99312544,0,0,0,0,0,0,0
386,0.01241233,0,0,0,0,0,0.61715233,0,0,0.36682191
387,0,0.97093004,0,0,0,0,0,0,0,0
388,0,0,0.9678387,0,0,0,0,0,0,0
389,0.025027879,0.7747434,0.0250287,0.025028238,0.025028033,0.025028462,0.025027959,0.025027849,0.025031643,0.025027849
390,0,0,0,0,0,0,0,0,0.95258284,0
391,0,0,0,0,0.16750318,0,0,0,0.82842946,0
392,0,0,0,0,0,0.9306982,0,0,0,0
393,0.8197373,0.020028362,0.02002939,0.020028753,0.020030223,0.020029346,0.020030566,0.020029059,0.020028386,0.020028595
394,0,0,0,0,0.9897629,0,0,0,0,0
395,0,0,0,0,0,0,0.9954021,0,0,0
396,0,0,0.99454075,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0.9924308,0,0
398,0,0,0,0,0.30734637,0,0,0,0.6842155,0
399,0,0,0,0,0.99599427,0,0,0,0,0
400,0,0,0.2589581,0,0.7345561,0,0,0,0,0
401,0,0,0.67753696,0,0,0,0,0,0,0.31732076
402,0.9931234,0,0,0,0,0,0,0,0,0
403,0.02502857,0.02502532,0.77475303,0.025026679,0.02502703,0.025026571,0.0250279,0.025025705,0.025025453,0.025033766
404,0.98974913,0,0,0,0,0,0,0,0,0
405,0,0,0.9911556,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0.9920987,0,0
407,0,0,0,0,0.17846835,0,0,0,0,0.81516993
408,0.0111301495,0.011133298,0.8998219,0.0111298775,0.011130697,0.011130598,0.011131058,0.011131739,0.011129849,0.011130818
